title,artist,url
Hammarkullen - Recorded At Spotify Studios Stockholm,"Aden x Asme, Aden, Asme",https://open.spotify.com/track/3xPMakIXmuSEbiw0qW0waN
Actually,Ang Bandang Shirley,https://open.spotify.com/track/6pQsR52X5q4mjSMaab5pOg
u.,niteboi,https://open.spotify.com/track/0J7oHYxjF6Oln61wy0kP2i
lovely (with Khalid),Billie Eilish,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
Wasted (feat. Lil Uzi Vert),Juice WRLD,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
Memories,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
La Difícil,Bad Bunny,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
Get It Together,"Drake, Black Coffee, Jorja Smith",https://open.spotify.com/track/7y6c07pgjZvtHI9kuMVqk1
ZITTI E BUONI,Måneskin,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
Truth Hurts,Lizzo,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
Rewrite The Stars,"Zac Efron, Zendaya",https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
Pininfarina - Remix,"Rei, Neo Pistea, Duki",https://open.spotify.com/track/1mVLbFwad1wce7mAhFw2Ih
Wie Falco,"Nimo, Yung Hurn, Ufo361",https://open.spotify.com/track/6ZyLo7sln0QFP7YXqgXCU8
Delicate,Taylor Swift,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
Candy,Doja Cat,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
True Colors (feat. Maya Avedis),XO Cupid,https://open.spotify.com/track/4AMY0oGSt7vZwgxDnHCJBr
Symphony (feat. Zara Larsson),Clean Bandit,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
APESHIT,The Carters,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
きらきら,もさを。,https://open.spotify.com/track/5eXXJJuejAUkggSgIINU1V
Ükssarvik,Beebiloust,https://open.spotify.com/track/0erWIis2tg4LDsAwyI4tqE
Rain On Me (with Ariana Grande),Lady Gaga,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
LEYENDAS,"KAROL G, Wisin & Yandel, Nicky Jam, Ivy Queen, Zion, Alberto Stylee",https://open.spotify.com/track/5vQy9fwVJTeLsaX9IOpCcp
我還年輕 我還年輕,老王樂隊,https://open.spotify.com/track/5o48kuQnPwhuRAzO2t0bCU
SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
