,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist_name
38SKB7UfhL6Sd6Joxex5yK,0.628,0.64,6,-4.164,0,0.0491,0.0992,0,0.138,0.409,129.815,audio_features,38SKB7UfhL6Sd6Joxex5yK,spotify:track:38SKB7UfhL6Sd6Joxex5yK,https://api.spotify.com/v1/tracks/38SKB7UfhL6Sd6Joxex5yK,https://api.spotify.com/v1/audio-analysis/38SKB7UfhL6Sd6Joxex5yK,201081,4,don't know what to do,blackpink
3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4,be alright,dean lewis
2S8wxDFED8PAo4ZqhyMRh2,0.652,0.621,7,-6.011,1,0.526,0.28,0,0.116,0.377,87.767,audio_features,2S8wxDFED8PAo4ZqhyMRh2,spotify:track:2S8wxDFED8PAo4ZqhyMRh2,https://api.spotify.com/v1/tracks/2S8wxDFED8PAo4ZqhyMRh2,https://api.spotify.com/v1/audio-analysis/2S8wxDFED8PAo4ZqhyMRh2,253133,4,l'ancien,heuss l'enfoiré
1ngGGsWzGONyiOlxdXRDr7,0.9,0.497,2,-8.167,0,0.173,0.234,0,0.279,0.69,141.955,audio_features,1ngGGsWzGONyiOlxdXRDr7,spotify:track:1ngGGsWzGONyiOlxdXRDr7,https://api.spotify.com/v1/tracks/1ngGGsWzGONyiOlxdXRDr7,https://api.spotify.com/v1/audio-analysis/1ngGGsWzGONyiOlxdXRDr7,148000,4,+44,lil krystalll
7CtbxAGq2P0jtYh6SH9DMR,0.778,0.651,9,-5.421,0,0.266,0.167,0,0.177,0.569,100.094,audio_features,7CtbxAGq2P0jtYh6SH9DMR,spotify:track:7CtbxAGq2P0jtYh6SH9DMR,https://api.spotify.com/v1/tracks/7CtbxAGq2P0jtYh6SH9DMR,https://api.spotify.com/v1/audio-analysis/7CtbxAGq2P0jtYh6SH9DMR,159666,4,"agua (with j balvin) - music from ""sponge on the run"" movie",tainy
7t1lBIr3WIEtqQEOdZFMUf,0.495,0.351,3,-14.669,0,0.34,0.485,0,0.0967,0.271,134.369,audio_features,7t1lBIr3WIEtqQEOdZFMUf,spotify:track:7t1lBIr3WIEtqQEOdZFMUf,https://api.spotify.com/v1/tracks/7t1lBIr3WIEtqQEOdZFMUf,https://api.spotify.com/v1/audio-analysis/7t1lBIr3WIEtqQEOdZFMUf,301960,4,look what you made me do,taylor swift
3ElGRG3DqSzzkh1b2wnbzf,0.706,0.778,10,-4.491,1,0.0606,0.198,1.06e-05,0.0778,0.376,125.893,audio_features,3ElGRG3DqSzzkh1b2wnbzf,spotify:track:3ElGRG3DqSzzkh1b2wnbzf,https://api.spotify.com/v1/tracks/3ElGRG3DqSzzkh1b2wnbzf,https://api.spotify.com/v1/audio-analysis/3ElGRG3DqSzzkh1b2wnbzf,149643,4,thunder,"gabry ponte, lum!x, prezioso"
0Aqi7ArnBrGblW5T6p2jmD,0.785,0.431,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.085,audio_features,0Aqi7ArnBrGblW5T6p2jmD,spotify:track:0Aqi7ArnBrGblW5T6p2jmD,https://api.spotify.com/v1/tracks/0Aqi7ArnBrGblW5T6p2jmD,https://api.spotify.com/v1/audio-analysis/0Aqi7ArnBrGblW5T6p2jmD,159382,4,falling,trevor daniel
6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,audio_features,6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190800,4,señorita,"shawn mendes, camila cabello"
0QHPrNPQ7lSJUGjJ3z2Brq,0.94,0.492,9,-7.056,0,0.231,0.0805,0,0.104,0.775,100.01,audio_features,0QHPrNPQ7lSJUGjJ3z2Brq,spotify:track:0QHPrNPQ7lSJUGjJ3z2Brq,https://api.spotify.com/v1/tracks/0QHPrNPQ7lSJUGjJ3z2Brq,https://api.spotify.com/v1/audio-analysis/0QHPrNPQ7lSJUGjJ3z2Brq,201600,4,chivas,"kkevin, g.w.m."
3vAncbML0jhNrp63DKhsCo,0.604,0.687,0,-5.13,0,0.0327,0.757,0.234,0.0718,0.504,119.992,audio_features,3vAncbML0jhNrp63DKhsCo,spotify:track:3vAncbML0jhNrp63DKhsCo,https://api.spotify.com/v1/tracks/3vAncbML0jhNrp63DKhsCo,https://api.spotify.com/v1/audio-analysis/3vAncbML0jhNrp63DKhsCo,201659,4,round and round,"heize, han suji"
4nK5YrxbMGZstTLbvj6Gxw,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.817,128.977,audio_features,4nK5YrxbMGZstTLbvj6Gxw,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,https://api.spotify.com/v1/tracks/4nK5YrxbMGZstTLbvj6Gxw,https://api.spotify.com/v1/audio-analysis/4nK5YrxbMGZstTLbvj6Gxw,223480,4,supalonely,"benee, gus dapperton"
